,0
1828,153011
1829,153012
1830,925679
1831,110511
1832,110197
1833,731030
1834,732200
1835,832200
1836,632200
1837,925511
1838,167528
1839,154372
1840,160091
1841,167091
1842,120071
1843,865740
1844,765740
1845,665740
1846,443051
1847,765700
1848,744030
1849,245209
1850,193048
1851,925371
1852,193030
1853,343044
1854,343030
1855,257005
1856,193311
1857,153932
1858,153500
1859,153294
1860,443039
1861,443053
1862,193401
1863,443041
1864,443042
1865,925346
1866,433035
1867,167191
1868,160191
1869,250055
1870,510517
1871,510179
1872,511776
1873,512068
1874,512066
1875,925035
1876,511331
1877,510676
1878,512067
1879,511187
1880,511333
1881,510821
1882,511778
1883,511646
1884,511334
1885,113207
1886,113211
1887,172077
1888,171077
1889,171039
1890,172039
1891,172017
1892,171017
1893,171087
1894,172087
1895,172216
1896,171216
1897,171057
1898,172057
1899,172155
1900,171155
1901,171115
1902,172115
1903,172176
1904,171176
1905,171132
1906,172132
1907,925290
1908,153182
1909,120063
1910,340036
1911,420036
1912,926140
1913,153185
1914,153987
1915,720305
1916,689100
1917,789100
1918,889100
1919,642000
1920,742000
1921,731040
1922,167291
1923,160291
1924,153501
1925,154064
1926,154065
1927,150161
1928,154066
1929,150162
1930,154067
1931,153049
1932,443050
1933,925349
1934,925335
1935,925338
1936,925352
1937,240012
1938,154377
1939,154033
1940,154378
1941,154375
1942,154374
1943,154376
1944,158106
1945,925336
1946,201064
1947,180004
1948,795200
1949,195016
1950,195011
1951,195005
1952,195001
1953,195004
1954,195006
1955,195002
1956,195003
1957,195015
1958,919820
1959,926106
1960,926581
1961,925909
1962,926693
1963,925857
1964,926728
1965,926733
1966,225001
1967,910813
1968,179008
1969,296189
1970,926189
1971,420037
1972,343025
1973,340037
1974,60006
1975,158078
1976,167413
1977,160413
1978,160293
1979,167293
1980,167392
1981,160392
1982,167530
1983,925253
1984,925235
1985,110269
1986,364120
1987,364101
1988,364102
1989,364001
1990,364150
1991,364201
1992,364210
1993,364204
1994,364208
1995,364203
1996,179013
1997,925341
1998,170705
1999,926155
2000,167064
2001,160064
2002,153172
2003,153375
2004,158219
2005,153324
2006,160078
2007,167078
2008,167077
2009,160077
2010,167046
2011,160046
2012,160110
2013,167110
2014,167013
2015,160013
2016,167393
2017,160393
2018,167084
2019,160084
2020,160079
2021,167079
2022,167292
2023,160292
2024,862300
2025,762300
2026,662300
2027,155626
2028,155636
2029,155633
2030,155628
2031,155637
2032,155635
2033,155624
2034,155625
2035,155627
2036,155630
2037,155631
2038,155632
2039,155634
2040,155629
2041,153167
2042,153295
2043,250056
2044,160295
2045,695009
2046,895009
2047,130143
2048,160100
2049,130188
2050,130193
2051,130196
2052,130197
2053,130189
2054,130190
2055,130191
2056,130195
2057,130198
2058,130199
2059,130192
2060,130200
2061,130194
2062,130144
2063,130145
2064,120156
2065,167422
2066,160422
2067,167176
2068,160176
2069,160193
2070,167193
2071,167047
2072,160047
2073,160466
2074,167466
2075,160462
2076,167014
2077,160014
2078,167158
2079,160158
2080,160444
2081,167444
2082,160537
2083,167438
2084,160438
2085,167244
2086,167015
2087,160015
2088,791130
2089,160170
2090,167170
2091,167364
2092,160364
2093,167149
2094,167294
2095,160294
2096,167233
2097,167219
2098,160219
2099,167414
2100,160414
2101,167036
2102,160036
2103,160344
2104,167344
2105,167194
2106,160194
2107,167380
2108,160380
2109,789000
2110,120119
2111,167296
2112,160296
2113,167297
2114,160297
2115,167298
2116,160298
2117,167065
2118,160065
2119,167462
2120,167537
2121,160349
2122,167349
2123,167146
2124,160488
2125,167488
2126,160515
2127,167100
2128,167118
2129,160118
2130,160111
2131,167111
2132,160163
2133,167163
2134,160140
2135,167140
2136,795100
2137,786100
2138,788100
2139,791100
2140,791200
2141,791300
2142,791400
2143,782100
2144,791500
2145,691500
2146,891500
2147,891600
2148,691600
2149,791600
2150,795106
2151,710000
2152,730001
2153,683801
2154,823000
2155,795300
2156,160244
2157,167372
2158,160372
2159,160352
2160,167352
2161,167026
2162,167002
2163,167515
2164,167346
2165,160346
2166,167024
2167,160024
2168,160026
2169,780000
2170,680000
2171,880000
2172,160539
2173,160548
2174,167548
2175,881009
2176,681009
2177,681000
2178,781000
2179,881000
2180,882009
2181,682009
2182,782000
2183,683009
2184,883009
2185,783000
2186,684009
2187,884009
2188,784000
2189,685009
2190,885009
2191,785000
2192,860000
2193,886009
2194,686009
2195,786000
2196,687000
2197,887000
2198,889009
2199,689009
2200,789009
2201,689000
2202,889000
2203,167016
2204,160016
2205,167299
2206,160299
2207,167195
2208,160195
2209,167395
2210,160395
2211,799000
2212,783100
2213,784110
2214,781100
2215,681100
2216,881100
2217,785100
2218,791110
2219,791120
2220,791140
2221,791150
2222,731000
2223,831000
2224,631000
2225,631002
2226,831002
2227,891660
2228,691660
2229,791660
2230,791610
2231,691610
2232,891610
2233,891620
2234,691620
2235,791620
2236,791210
2237,691009
2238,891009
2239,120130
2240,120131
2241,120107
2242,167069
2243,160069
2244,887009
2245,687009
2246,788000
2247,688009
2248,888009
2249,891000
2250,691000
2251,791000
2252,167482
2253,926684
2254,926749
2255,926701
2256,926577
2257,926600
2258,926494
2259,910920
2260,130159
2261,167141
2262,120090
2263,120091
2264,926214
2265,120108
2266,120088
2267,200025
2268,120137
2269,120124
2270,120127
2271,925760
2272,925614
2273,925612
2274,925616
2275,925613
2276,925757
2277,925758
2278,160141
2279,170129
2280,171129
2281,813000
2282,713000
2283,613000
2284,120109
2285,201065
2286,173029
2287,160094
2288,167094
2289,925674
2290,925896
2291,130134
2292,130132
2293,130135
2294,130133
2295,130124
2296,130031
2297,130008
2298,130009
2299,137003
2300,137043
2301,130136
2302,130123
2303,130122
2304,130125
2305,130126
2306,130128
2307,130010
2308,130129
2309,130127
2310,130131
2311,925756
2312,925788
2313,110620
2314,113209
2315,113202
2316,420031
2317,670200
2318,770200
2319,870200
2320,870100
2321,770100
2322,670100
2323,781930
2324,240028
2325,925524
2326,925506
2327,925507
2328,925517
2329,158190
2330,255057
2331,167301
2332,160301
2333,167066
2334,160066
2335,160017
2336,167017
2337,160491
2338,167491
2339,167396
2340,160396
2341,167220
2342,160220
2343,160201
2344,167201
2345,160164
2346,240072
2347,926502
2348,926066
2349,925763
2350,925165
2351,926315
2352,276001
2353,926377
2354,275059
2355,275068
2356,275076
2357,275069
2358,275058
2359,925972
2360,974200
2361,925217
2362,925777
2363,925185
2364,135080
2365,167303
2366,160303
2367,925992
2368,195008
2369,926723
2370,926443
2371,926257
2372,926234
2373,974100
2374,919819
2375,926388
2376,925095
2377,926144
2378,925174
2379,926187
2380,926068
2381,925160
2382,926431
2383,925445
2384,926326
2385,926730
2386,926566
2387,925139
2388,495370
2389,495400
2390,495500
2391,495550
